Country,Yield Int 2040,Food Self Sufficiency in 2040,Change in Food Self Sufficiency in 2040,Code,ISO,Legend - Change in Self-Sufficiency,Legend - Self-Sufficiency,Legend - Yield Intensity,yield int category
Papua New Guinea,0.769,0.577775187,-0.003404556,16.1,PNG,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.7 and 0.8,6
Paraguay,0.59,1.421441002,-0.011453734,31.3,PRY,Between -0.03 and -0.01,Between 1.25 and 1.5,Between 0.5 and 0.6,4
Peru,0.487,0.7990344,-0.012941203,208.2,PER,Between -0.03 and -0.01,Between 0.75 and 0.95,Between 0.4 and 0.5,3
Philippines,0.678,0.758974508,-0.025589713,284.6,PHL,Between -0.03 and -0.01,Between 0.75 and 0.95,Between 0.6 and 0.7,5
Poland,0.513,1.014768744,0.001574921,552.2,POL,Between -0.01 and 0.01,Between 0.95 and 1.05,Between 0.5 and 0.6,4
Portugal,0.486,0.586919592,0.00241255,228.2,PRT,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.4 and 0.5,3
Puerto Rico,0.561,0.37360179,-0.002500503,93.52,PRI,Between -0.01 and 0.01,Between 0.25 and 0.5,Between 0.5 and 0.6,4
Qatar,0.543,0.30330506,-0.001130424,212,QAT,Between -0.01 and 0.01,Between 0.25 and 0.5,Between 0.5 and 0.6,4
Romania,0.453,1.492013691,0.001490071,199,ROU,Between -0.01 and 0.01,Between 1.25 and 1.5,Between 0.4 and 0.5,3
Russian Federation,0.689,1.553712305,0.000609333,2057,RUS,Between -0.01 and 0.01,Between 1.5 and 1.75,Between 0.6 and 0.7,5
Rwanda,0.168,0.475634013,-0.014483981,8,RWA,Between -0.03 and -0.01,Between 0.25 and 0.5,Less than 0.3,1
Samoa,0.643,0.604782609,-0.025174288,0.75,ASM,Between -0.03 and -0.01,Between 0.5 and 0.75,Between 0.6 and 0.7,5
Sao Tome and Principe,0.348,0.363218391,-0.002252461,0.36,STP,Between -0.01 and 0.01,Between 0.25 and 0.5,Between 0.3 and 0.4,2
Saudi Arabia,0.927,0.148184961,-0.000667709,777.9,SAU,Between -0.01 and 0.01,Less than 0.25,Greater than 0.8,7
Senegal,0.567,0.365223597,-0.004469075,15.88,SEN,Between -0.01 and 0.01,Between 0.25 and 0.5,Between 0.5 and 0.6,4
Serbia,0.584,1.43862543,0.002230639,42.65,SRB,Between -0.01 and 0.01,Between 1.25 and 1.5,Between 0.5 and 0.6,4
Seychelles,0.336,0.643010753,-0.002252405,1.47,SYC,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.3 and 0.4,2
Sierra Leone,0.563,0.348533999,-0.043483328,5.41,SLE,Less than -0.03,Between 0.25 and 0.5,Between 0.5 and 0.6,4
Singapore,0.686,0.272885033,-0.000576118,307.9,SGP,Between -0.01 and 0.01,Between 0.25 and 0.5,Between 0.6 and 0.7,5
Slovakia,0.514,0.903696614,0.002333248,99.75,SVK,Between -0.01 and 0.01,Between 0.75 and 0.95,Between 0.5 and 0.6,4
Slovenia,0.613,0.597142857,-0.000319251,49.93,SVN,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.6 and 0.7,5
Solomon Islands,0.767,0.748197115,-0.01703586,1.16,SLB,Between -0.03 and -0.01,Between 0.5 and 0.75,Between 0.7 and 0.8,6
Somalia,0.372,0.4178,-0.00785445,2.37,SOM,Between -0.01 and 0.01,Between 0.25 and 0.5,Between 0.3 and 0.4,2
South Africa,0.416,0.751737682,-0.006766441,341.2,ZAF,Between -0.01 and 0.01,Between 0.75 and 0.95,Between 0.4 and 0.5,3
Spain,0.598,0.78140358,0.005046294,1400,ESP,Between -0.01 and 0.01,Between 0.75 and 0.95,Between 0.5 and 0.6,4
Sri Lanka,0.685,0.603128492,-0.013870401,71.57,LKA,Between -0.03 and -0.01,Between 0.5 and 0.75,Between 0.6 and 0.7,5
St. Lucia,0.49,0.463095238,-0.020044297,1.35,LCA,Between -0.03 and -0.01,Between 0.25 and 0.5,Between 0.4 and 0.5,3
St. Vincent and the Grenadines,0.548,1.038132296,-0.007636935,0.75,VCT,Between -0.01 and 0.01,Between 0.95 and 1.05,Between 0.5 and 0.6,4
Sudan,0.332,0.54515711,-0.001913107,70.03,SDN,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.3 and 0.4,2
Sudan South,0.359,0.860550038,0.000910789,11.89,SSD,Between -0.01 and 0.01,Between 0.75 and 0.95,Between 0.3 and 0.4,2
Suriname,0.795,0.956264775,-0.086658658,5.27,SUR,Less than -0.03,Between 0.95 and 1.05,Between 0.7 and 0.8,6
Sweden,0.962,0.624228466,-0.000783007,559.1,SWE,Between -0.01 and 0.01,Between 0.5 and 0.75,Greater than 0.8,7
Switzerland,0.825,0.634826498,0.000526372,679,CHE,Between -0.01 and 0.01,Between 0.5 and 0.75,Greater than 0.8,7
Syrian Arab Republic,0.668,0.916324675,0.00572862,64.7,SYR,Between -0.01 and 0.01,Between 0.75 and 0.95,Between 0.6 and 0.7,5
Taiwan,0.697,0.468317972,0.001587424,529.5,TWN,Between -0.01 and 0.01,Between 0.25 and 0.5,Between 0.6 and 0.7,5
Tajikistan,0.437,0.606546855,0.005130242,9.16,TJK,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.4 and 0.5,3
Tanzania,0.385,0.58475475,-0.014829858,36.62,TZA,Between -0.03 and -0.01,Between 0.5 and 0.75,Between 0.3 and 0.4,2
Thailand,0.734,1.433228613,-0.011538326,373.8,THA,Between -0.03 and -0.01,Between 1.25 and 1.5,Between 0.7 and 0.8,6
Timor-Leste,0.63,0.405940594,-0.014547211,4.51,TLS,Between -0.03 and -0.01,Between 0.25 and 0.5,Between 0.6 and 0.7,5
Togo,0.398,0.480388022,-0.008633308,4.84,TGO,Between -0.01 and 0.01,Between 0.25 and 0.5,Between 0.3 and 0.4,2
Tonga,0.691,0.677124183,0.000201106,0.49,TON,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.6 and 0.7,5
